intent,text
Specs_info,What is the size of DELL Inspiron 15 7000 laptop?
Specs_info,How big is the screen of acer Predator Helios 300?
Specs_info,what is the range of the screen size of MSI laptops ?
yes,"yep, that's true"
yes,"yes, that is actually true"
yes,"yes, that's it"
yes,"yes, that is right"
Comparison_info,Is the MSI GF65 Laptop Thin less expensive than the ASUS Vivobook Gaming Laptop?
Comparison_info,Is acer Nitro 5 Ryzen 7 heavier than MSI Bravo Ryzen 5 ?
Comparison_info,Is the HP Omen Ryzen 7 laptop superior to the MSI Pulse GL66 laptop?
Buy_info,Show me HP Omen laptop
Buy_info,I want a gaming laptop
Buy_info,Show me a good gaming laptop below Rs 1 lakh
Buy_info,Show me a good MSI laptop
Buy_info,Show me HP Pavillion and Acer Aspire
Buy_info,I want to buy a laptop having 1TB memory
Price_info,How much does a MSI GF63 laptop cost?
Price_info,What is the price of Lenovo IdeaPad?
Price_info,What is the price range of dell Laptops?
