Device,Question,Answer
Mouse,What kind of mouse can I buy?,"There are many types of computer mouse and trackball designs on the market today. From mice designed with ergonomics in mind to lightning-fast gaming mice and standard USB mice for daily computing activities, there is a mouse to fit your needs. Consider the types of daily tasks you do to narrow down the best mouse for your own computing needs. Some types of mouse available you can buy now are wired mouse, wireless mouse and bluetooth mouse."
Mouse,"What are the differences between wired mouse, wireless mouse and bluetooth mouse?","While a wired mouse is powered by the connection to the PC, a wireless mouse usually requires charging or batteries to operate. But wireless mice also offer greater freedom and connectivity from across rooms and can often work on surfaces other than mouse pads, making them ideal for presentations or when you need to stand away from the screen but have control over the display. Most wireless mice models use a dongle that connects to your PC, and the mouse communicates back and forth in that manner. A Bluetooth mouse, however, utilizes an internal Bluetooth connection on your PC, allowing you to connect the mouse to multiple devices at a time."
Mouse,What is the difference between a gaming and non gaming mouse?,"Gaming mice are special mice that are more suited to gaming than regular mice. A gaming mouse is different from a normal mouse because it has more buttons and a different shape. Gaming mice can be either wired or wireless, with the latter being more common. The most important difference between a gaming mouse and a regular mouse is that the gamer will see what his/her character is doing in real time (the same way he/she sees his/her movements in real life). Due to this feature, gamers tend to use their hands less often and prefer using their eyes instead. In fact, most use macros so that they don't need to move their hands at all."
Mouse,Does a mouse need some sort of mousepad to function?,"If your mouse works without one and you can use it comfortably, then no you don’t. But if you feel discomfort, pain or the mouse doesn’t precisely respond to movement input (or doesn’t respond at all), you might want to consider buying a mouse pad. There are many different shapes and designs, such as speed type, control type and hard pads."
Mouse,"What is the difference between speed, control and hard mouse pads?","Hard pads, like most other mice pads on the market, have a rubber base that prevents the pad from slipping when you’re using it during high intensity situations. Hard pads are easier to clean than that of cloth pads and for games that rely on quick snappy movement a hard pad can make you excel. Control pads have a more coarse or grainy feel giving you more control over your mouse movement. This can come in handy when playing a precision based FPS game and you need to make sure that your aim is on point all the time. A speed pad has a soft, smooth fabric surface for your mouse and has the same rubber under the belly so it doesn't slip and slide around your desk. Speed pads offer the same incredible tracking and precision that a hard pad or a control pad can offer but with a little less resistance when swiping your mouse around quickly."
Mouse,What are some features of modern gaming mice?,"A gaming mouse has certain characteristics, like high dpi setting, extra macro keys, and multi-key toggle and high polling rate etc. DPI (dots per inch) is the measure of how far a mouse cursor moves on screen for specific lengths of mouse movements (technically sensitivity of the mouse) . Higher the DPI, higher the sensitivity of the mouse will be. And most gaming mice have a higher DPI range one can choose from. Macro keys are extra keys on the mouse which enable the user to allot various in-game functions to those keys like reload gun, melee, and interact. Multi-key toggle, helps the mouse send multiple commands to the computer when clicking multiple keys at the same time. So, enabling faster, quicker and multiple action during gaming sessions. Polling rate, it is the rate at which a mouse relays information to the computer. It is measured in Hertz (Hz) and higher the value, lower will be lag, and greater will be the response."
Mouse,Do Wireless Mice Have Delay?,"When you use a wireless mouse on your computer for the first time, or the first few times, you will likely notice that there is a lag, and the cursor does not move as quickly as it does with your wired mouse. There are ways that you can prevent this lag from happening and you can continue to use your wireless mouse if it suits you better than a wired one. You can download the proper wireless mouse driver from the manufacturer’s website to make sure you have the latest version available. You can also try to change the frequency of your mouse. If the speed of your mouse is set to slow, you will want to change it to medium or fast. Doing either or both of these will get rid of the lag completely and you will be able to continue using your wireless mouse with no delay."
Mouse,Are wired mice cheaper than wireless ones?,Wireless gaming mice are always more expensive than wired versions of the same mouse. The higher cost is inevitable considering the advanced technology. Transmitters and extension cables also add to the price of wireless mice.
Mouse,What type of mouse is best suited for office work? ,"There's plenty to look into when you're shopping for the best work mouse for your needs, but I suggest you start by looking at ergonomics first. Even minor differences in the size, shape, and overall design of your mouse can help you work more comfortably for longer. Second, consider the kind of work you'll be doing and determine what features you may need to improve your workflow. If you work with documents and spreadsheets, you'll want a high-quality scroll wheel. If you're a programmer or design professional, it's helpful to have a good number of easy-to-reach, programmable buttons for macros. Some other elements you'll want to keep in mind are whether you'd like wireless capabilities, multi-device pairing, or if you have a preference for how you recharge your mouse. Also, you may want a more compact and portable model if you're planning on using your mouse on the go."
Mouse,What type of mouse is best suited for gaming? ,"The best gaming mouse you could buy this year is completely dependent on your needs as well as the games that you play. There are a few distinct subdivisions of gaming mice that we can take a look at, most of which have button designs and placements meant to aid in very specific types of games. Note that these subdivisions are independent of the body and grip styles mentioned above—a shooter mouse can be wide and low for a palm grip or skinny and shallow for a tip grip. So once you decide what type of gaming mouse to buy, be sure to look at recommendations with grip type and software in mind."
Mouse,"Which one is better, mouse or trackpad?","If you have the space for it, a mouse is better for productivity. It might not be the best choice at first, but with practice, you’ll have fast mouse movement and incredible precision that can speed up everything you do on your computer. However, if you’re the kind that works whilst travelling, or you’ve built a habit where you’re constantly picking up and moving the laptop around at home, a trackpad may be more convenient than a mouse simply because you’re not forced to carry it around and plug it in constantly. A mouse on a nice, flat surface with a good mouse pad underneath will be the best choice when working from a simple, static location, but in less optimal conditions, like working in an airport chair, a trackpad will always win."
Mouse,Is it hard to play PC games on a laptop trackpad?,"Yes, it is hard to play PC games on a laptop trackpad because trackpads were not designed for gaming. They are an aide to people who are unable to carry a mouse with them all the time. In my opinion, it is a much slower and inferior alternative to using a mouse; or even a keyboard. It is only recommended for busy executives who spend more time running from one meeting to another than actually preparing for them. These type of people are usually presenting something on their laptop, e.g. powerpoints or excel documents, instead of sitting down and creating them. The trackpad is slow, not intuitive at all, and totally unsuitable for any kind of gaming; be it an FPS, and RTS or an RPG."
Mouse,What is the average price for a good gaming mouse?,"The best budget mouse for gaming depends on how much you're willing to spend. The high-end choices which are popular and trending cost anywhere from $45-50, while the most affordable options might cost you as low as $20-30."
Mouse,What is DPI in a gaming mouse?,"DPI stands for dots per inch or in gaming terms, pixels per inch. DPI determines how far a cursor moves per inch of mouse movement. 400 DPI = 1 inch mouse movement, moves the cursor 400 pixels. The lower the DPI, the less sensitive your mouse."
Mouse,What are the advantages of having high DPI setting in a gaming mouse?,"Simply put, a higher DPI makes a huge difference. Most gaming mice check how far they've moved around 1,000 times a second, also called a polling rate. If a player is using a DPI lower than than the number of times the mouse checks for movement, they're leaving performance and accuracy on the table."
Mouse,Should I buy a mouse with braided cable?,"Non-braided cables tend to have a mind of their own and get in the way more often, whereas the braided ones (sometimes) lay more naturally where you put them without the pre-kinked bends making them less of a nuisance to use. A good braided mouse cable is more of a factor, but if the gauge of wire used in the mouse is too large then the braided external housing is basically useless."
Laptop,What is an Ultrabook?,"An ultrabook is a high-end laptop, sleek in design but uncompromising in performance. The term ultrabook was coined by Intel, and the market continues to be dominated by devices containing Intel Core processors which give ultrabooks impressive performance power. Despite their slight frame, they have the capabilities of larger, bulkier laptops and some desktops. Ultrabooks are interesting creatures, as they cover a wide range of uses, have screen sizes that range from 13 to 15 or even 17 inches, and cover broad price ranges.
Originally surfacing in 2011, ultrabooks redefined the laptop market by impressing consumers with their stylish, lightweight design. Today, ultrabooks continue to dominate the laptop market, as the easiest portability becomes increasingly important to users.
Since their inception, ultrabooks have become more impressive in their performance capabilities. When the first ultrabook surfaced, the device ran the Huron River platform, which consisted of between 2 to 4 GB RAM capacity, a relatively short five-hour battery life, and between a 1.5 to 1.7 gHz processor. Since then, major improvements have been made to the platform. Ultrabooks now run the Chief River platform, which boast more powerful processors."
